Event ID,Magnitude,DistanceRup (km),DistanceJB (km),Annual Rate,RSQSim 4860 10x ln(3.0s RotD50),ASK2014 ln(3.0s Median RotD50),ASK2014 3.0s Standard Deviation
6030,7.253957,141.27124,141.27124,3.7102993E-6,-4.5787125,-4.374757,0.7343024
6038,6.770276,135.53609,135.53609,3.7102993E-6,-4.7973948,-5.0561185,0.74057865
6041,7.1783996,205.11386,205.11386,3.7102993E-6,-4.7786283,-4.8334303,0.7343024
6046,7.6401386,0.34775522,0.34775522,3.7102993E-6,-1.7290379,-1.7119261,0.7343024
6049,7.8272734,18.812183,18.812183,3.7102993E-6,-1.6665527,-2.4360163,0.7343024
6052,7.17984,204.89664,204.72246,3.7102993E-6,-4.6745834,-4.8301997,0.7343024
6055,6.9426165,158.8897,157.9341,3.7102993E-6,-4.9629226,-4.936378,0.73585486
6056,6.553758,120.03714,120.03714,3.7102993E-6,-4.9170766,-5.3357606,0.7466415
6058,7.3883376,101.27103,101.27103,3.7102993E-6,-2.08604,-3.9217422,0.7343024
6060,7.195637,181.71939,181.65059,3.7102993E-6,-5.083701,-4.6511507,0.7343024
6062,6.5794487,205.11386,205.11386,3.7102993E-6,-5.7855306,-5.873328,0.74591476
6063,7.3343754,91.65054,91.65054,3.7102993E-6,-2.9239025,-3.9102693,0.7343024
6064,7.274532,84.91727,84.91727,3.7102993E-6,-1.6732231,-3.9240062,0.7343024
6065,6.6156197,76.00605,74.324356,3.7102993E-6,-3.2338457,-4.7678604,0.74489486
6069,6.5712857,106.629776,106.629776,3.7102993E-6,-4.039415,-5.1811333,0.7461455
6082,7.1057615,205.11386,205.11386,3.7102993E-6,-5.0721827,-4.943925,0.7343024
6086,7.0773807,11.380454,11.380454,3.7102993E-6,-1.6968628,-2.6693118,0.7343024
6087,6.5121813,18.309439,18.309439,3.7102993E-6,-3.0524182,-3.6422517,0.7478218
6089,7.0916953,124.36691,123.495094,3.7102993E-6,-4.228253,-4.48683,0.7343024
6090,6.9985614,118.09337,118.09337,3.7102993E-6,-3.1934652,-4.571099,0.7343412
6093,6.730111,43.631477,43.631477,3.7102993E-6,-2.977798,-4.073063,0.7416926
6094,6.9791985,46.901352,46.901352,3.7102993E-6,-1.2906213,-3.805644,0.734864
6098,7.6376066,60.044224,57.98231,3.7102993E-6,-3.7843556,-3.2394683,0.7343024
6102,7.886461,20.486881,20.486881,3.7102993E-6,-1.1959351,-2.441728,0.7343024
6103,7.2649655,106.55546,106.55546,3.7102993E-6,-2.8394806,-4.1194816,0.7343024
6104,6.5829716,205.11386,205.11386,3.7102993E-6,-5.967046,-5.866198,0.7458153
6105,7.1005497,11.05184,6.8726444,3.7102993E-6,-0.97390366,-2.6331244,0.7343024
6107,6.559733,151.00946,151.00946,3.7102993E-6,-4.8484936,-5.568499,0.7464723
6114,7.170038,175.3495,175.3495,3.7102993E-6,-3.9572868,-4.792704,0.7343024
6115,7.113621,172.8949,172.8949,3.7102993E-6,-3.8426113,-4.762424,0.7343024
6117,6.559926,150.6125,150.6125,3.7102993E-6,-5.2026935,-5.565262,0.7464669
6118,6.522704,105.73665,105.73665,3.7102993E-6,-4.396275,-5.2626495,0.7475226
6121,7.1947546,205.11386,205.11386,3.7102993E-6,-4.652187,-4.8088017,0.7343024
6129,7.5729575,191.27747,191.21211,3.7102993E-6,-4.9537883,-4.1635,0.7343024
6130,7.3739624,93.350655,92.850746,3.7102993E-6,-3.3306043,-3.875941,0.7343024
6133,7.3357506,200.22635,200.22635,3.7102993E-6,-3.0914423,-4.5773416,0.7343024
6139,6.5486374,145.87105,145.87105,3.7102993E-6,-3.5121682,-5.5525136,0.7467866
6140,7.021595,95.85624,95.85624,3.7102993E-6,-3.8462095,-4.3521795,0.7343024
6141,7.0695653,66.936005,66.936005,3.7102993E-6,-1.9544051,-3.9860392,0.7343024
6142,7.901601,25.81489,25.81489,3.7102993E-6,-1.4774237,-2.5497313,0.7343024
6143,7.5641894,0.34775522,0.34775522,3.7102993E-6,-0.569667,-1.7357206,0.7343024
6144,6.9737387,114.38215,114.38215,3.7102993E-6,-4.4390306,-4.577018,0.7350116
6148,6.7540402,205.11386,205.11386,3.7102993E-6,-5.29599,-5.525073,0.74102837
